what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_36-b36",1513160208165
java.specification.name,sysinfo,,,"Java Platform API Specification",1513160208165
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1513160208165
java.specification.version,sysinfo,,,"1.6",1513160208165
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1513160208165
java.version,sysinfo,,,"1.6.0_36",1513160208165
java.vm.info,sysinfo,,,"mixed mode",1513160208165
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1513160208165
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1513160208165
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1513160208165
java.vm.specification.version,sysinfo,,,"1.0",1513160208165
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1513160208165
java.vm.version,sysinfo,,,"23.25-b01",1513160208165
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1513160209173
error,log,,,"Unhandled event loop exception",1513160210578
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1513160210956
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513160210962
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513160888543
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513160888844
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1513160889536
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513160891115
opened,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1513160892688
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1513160892746
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1513160892761
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513160906782
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513160950379
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513160952267
opened,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1513161147851
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1513161147894
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1513161147895
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513161147911
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1513161162425
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513161204341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513161208786
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1513161208795
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1513161212541
