what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512395717538
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512395718065
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512395718125
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512395718771
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1512395764995
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1512395774322
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1512395775949
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1512395780380
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1512395793524
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1512395796296
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1512395797790
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1512395817498
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512395819129
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512395823461
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1512395829190
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1512395835441
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512395836018
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512395842502
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1512395843930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512395844362
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512395860249
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1512395865221
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512395865890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512395867288
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512395869895
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512395914260
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1512395918493
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512395919670
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512395946526
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512395947757
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512395948231
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512395949573
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512395964274
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1512395967160
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512395969070
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512395983802
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512395985772
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512395986450
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512395990446
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512395993361
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1512396001425
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512396004543
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512396013816
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1512396016949
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512396018011
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512396029463
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512396030543
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512396031021
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512396033259
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512396044508
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512396045796
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512396046775
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512396047952
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512396073170
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512396074799
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512396116477
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1512396120503
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512396121636
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512396121822
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512396122379
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512396488037
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512396489839
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512396637289
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1512396640220
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512396641566
