what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1513173411846
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513173412552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513173526955
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1513173530801
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1513173534634
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513173535113
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513173536160
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513173537090
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513173604354
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1513173613284
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513173615217
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513173713652
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1513173716559
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513173717623
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1513173792522
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1513173802759
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1513173835250
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1513173841927
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1513173882631
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1513173884726
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1513173886583
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1513173891715
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1513173897292
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1513173898045
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1513173941173
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1513173943341
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1513173949060
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1513173951678
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1513173957098
