what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86_64",1512387862133
ws,sysinfo,,,"gtk",1512387862133
locale,sysinfo,,,"en_US",1512387862133
processors,sysinfo,,,"1",1512387862140
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1512387862140
java.runtime.version,sysinfo,,,"1.6.0_36-b36",1512387862140
java.specification.name,sysinfo,,,"Java Platform API Specification",1512387862140
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1512387862140
java.specification.version,sysinfo,,,"1.6",1512387862140
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1512387862140
java.version,sysinfo,,,"1.6.0_36",1512387862140
java.vm.info,sysinfo,,,"mixed mode",1512387862140
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1512387862140
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1512387862140
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1512387862140
java.vm.specification.version,sysinfo,,,"1.0",1512387862140
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1512387862140
java.vm.version,sysinfo,,,"23.25-b01",1512387862140
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1512387863201
error,log,,,"Unhandled event loop exception",1512387863552
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512387865096
opened,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1512387882544
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1512387882634
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1512387882637
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512387882653
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1512387915401
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1512387915415
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1512387926865
executed,command,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.actions.uncomment",1512387928500
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1512387933287
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1512387934789
executed,command,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.actions.comment",1512387976784
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1512387983622
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512387987948
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512388045594
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1512388064175
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512388065412
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512388078693
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1512388088231
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1512388094386
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1512388096144
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512388097389
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512388106209
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1512388110130
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512388111947
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1512388147205
